latent_idx,hook_action,steering_coefficient,sae_id,sae_release,description
11766,clamp,-382.5302053666036,layer_7/width_16k/canonical,gemma-scope-2b-pt-res-canonical,mentions of the coronavirus pandemic and related medical terms
9723,clamp,-208.60482695384715,layer_7/width_16k/canonical,gemma-scope-2b-pt-res-canonical,references to viral RNA and its properties
4788,clamp,-205.12985694953784,layer_7/width_16k/canonical,gemma-scope-2b-pt-res-canonical,terms related to viral infections and their impact on health
1709,clamp,-164.44073681109845,layer_7/width_16k/canonical,gemma-scope-2b-pt-res-canonical,terms associated with epidemiological factors in disease transmission
9186,clamp,-131.60341138990884,layer_7/width_16k/canonical,gemma-scope-2b-pt-res-canonical,terms related to respiratory health conditions and treatments
16246,clamp,-115.75480634301599,layer_7/width_16k/canonical,gemma-scope-2b-pt-res-canonical,references to disease cases and their statistics
7995,clamp,-107.28505833607943,layer_7/width_16k/canonical,gemma-scope-2b-pt-res-canonical, words and phrases related to pandemics and health crises
8336,clamp,-90.23016467857398,layer_7/width_16k/canonical,gemma-scope-2b-pt-res-canonical,references to vaccines and immunization programs
15218,clamp,-87.26326534912415,layer_7/width_16k/canonical,gemma-scope-2b-pt-res-canonical,technical terms and concepts related to electrical engineering and telecommunications
10986,clamp,-86.15465634409583,layer_7/width_16k/canonical,gemma-scope-2b-pt-res-canonical, references to significant historical events or notable figures
5107,clamp,-85.32599258422447,layer_7/width_16k/canonical,gemma-scope-2b-pt-res-canonical,terms related to drug resistance and bacterial infections
14050,clamp,-82.38540598214622,layer_7/width_16k/canonical,gemma-scope-2b-pt-res-canonical,"references to mental health, particularly during the COVID-19 pandemic"
5745,clamp,-82.08046203882368,layer_7/width_16k/canonical,gemma-scope-2b-pt-res-canonical, numeric values
9216,clamp,-81.05569698702561,layer_7/width_16k/canonical,gemma-scope-2b-pt-res-canonical," numerical representations, particularly related to counts or statistics"
14459,clamp,-80.90086265846845,layer_7/width_16k/canonical,gemma-scope-2b-pt-res-canonical,numbers or numerical expressions
3088,clamp,-79.7562268477182,layer_7/width_16k/canonical,gemma-scope-2b-pt-res-canonical,terms related to global or international contexts
13505,clamp,-79.33590125033547,layer_7/width_16k/canonical,gemma-scope-2b-pt-res-canonical, terms related to diseases and medical conditions
7080,clamp,-78.7542906656719,layer_7/width_16k/canonical,gemma-scope-2b-pt-res-canonical,references to HIV/AIDS and coronavirus
7005,clamp,-77.90056040035736,layer_7/width_16k/canonical,gemma-scope-2b-pt-res-canonical,terms and phrases related to breathing and respiratory functions
5964,clamp,-77.57798940648982,layer_7/width_16k/canonical,gemma-scope-2b-pt-res-canonical,"numeric values, particularly those indicating quantities or measurements"
