latent_idx,description,sae_id,steering_coefficient
7037,mentions of the coronavirus and related health topics,layer_20/width_16k/canonical,-1938.4965985171293
8235,text related to charitable actions and community support,layer_20/width_16k/canonical,-1608.717424626164
966,information related to diseases carried by rodents and their ability to transmit viruses.,layer_20/width_16k/canonical,-1168.6515954198965
15013,statistical data related to health incidents and their trends over time,layer_20/width_16k/canonical,-956.6579149252865
10167,references to the coronavirus and the COVID-19 pandemic,layer_20/width_16k/canonical,-748.7661555231365
518,references to diseases and health conditions,layer_20/width_16k/canonical,-744.817170826894
1556,medical terminology and symptoms associated with respiratory illnesses and infections,layer_20/width_16k/canonical,-665.1017421221661
6030, references to COVID-related topics,layer_20/width_16k/canonical,-663.6220923646987
2306,biological or scientific terminology related to viruses and their classifications,layer_20/width_16k/canonical,-660.9007973911021
1651,references to violence and casualties from attacks or conflicts,layer_20/width_16k/canonical,-613.0599000991361
8002,references to biological research and experimental methods,layer_20/width_16k/canonical,-605.2601803596015
10438,attributes related to vaccine efficacy and immunogenicity in children,layer_20/width_16k/canonical,-575.8527662277647
8869,information related to public health studies and statistics,layer_20/width_16k/canonical,-563.1951157839918
7932, phrases related to technical explanations or descriptions,layer_20/width_16k/canonical,-520.5637903332407
12452,numerical values or statistics related to time and events,layer_20/width_16k/canonical,-517.0901684656206
450,terms related to quantitative research and analysis methods,layer_20/width_16k/canonical,-516.7732268676762
3242,information related to corruption and bribery involving public officials,layer_20/width_16k/canonical,-510.3930658578395
11643,references to bacterial infections or antibiotic treatments,layer_20/width_16k/canonical,-486.05882591445817
1828,terms related to severity and serious conditions,layer_20/width_16k/canonical,-480.63540567062773
4482,topics related to humanitarian crises and social issues,layer_20/width_16k/canonical,-477.557665978685
5708,references to diseases and medical conditions,layer_20/width_16k/canonical,-449.6388031806412
3814,phrases related to possession or experiences over time,layer_20/width_16k/canonical,-443.03150635976243
5128,financial figures and monetary values,layer_20/width_16k/canonical,-424.9100474593209
13296,"numerical information or values related to studies, statistics, or significant dates",layer_20/width_16k/canonical,-416.73419320214566
6456,terms related to human rights and humanitarian issues,layer_20/width_16k/canonical,-415.15863295558495
13686,terms related to various medical symptoms and conditions,layer_20/width_16k/canonical,-413.57707050954474
6692,terms and concepts related to technology and engineering systems,layer_20/width_16k/canonical,-411.59157142535184
3820,phrases related to global economic influences and inter-country relations,layer_20/width_16k/canonical,-410.39566118402206
9669,"terms linked to specific regulatory or legislative frameworks, particularly in taxation and healthcare",layer_20/width_16k/canonical,-409.196255810034
5746,references to education and professional development activities,layer_20/width_16k/canonical,-401.1085756219692
7971, references to specific scientific articles and researchers,layer_20/width_16k/canonical,-399.47139092955314
6474,terms related to health risks and medical conditions,layer_20/width_16k/canonical,-398.23908550200343
13389,references to specific medical device categories and parameters related to heart function,layer_20/width_16k/canonical,-391.60130254673487
1548,expressions of personal giving or philanthropic actions,layer_20/width_16k/canonical,-387.8176263492155
7905,sentence endings and punctuation marks,layer_20/width_16k/canonical,-383.56976958749874
13700,"references to species comparisons and interactions, particularly between humans and other mammals",layer_20/width_16k/canonical,-381.4281014274386
15232,references to diseases and viruses transmitted by mosquitoes or ticks,layer_20/width_16k/canonical,-380.1373088882759
10867,"phrases containing the word ""as"" in various contexts",layer_20/width_16k/canonical,-379.27433999108604
13403,technical references or terminologies related to scientific concepts and entities,layer_20/width_16k/canonical,-377.1082780751538
16138,"instances of medical conditions, emergency situations, and treatments involving critical care or interventions",layer_20/width_16k/canonical,-377.1082780751538
9521, phrases indicating numerical quantities and dimensions in various contexts,layer_20/width_16k/canonical,-374.4924665375363
9166," references to figures, files, and declarations of conflicts of interest",layer_20/width_16k/canonical,-365.6379646069346
6884,terms related to coexistence and variation in biological or emotional contexts,layer_20/width_16k/canonical,-362.9394925637912
11264,language related to causes and effects,layer_20/width_16k/canonical,-362.03553227454853
4824,terms related to health and healthcare,layer_20/width_16k/canonical,-359.7656946492387
8388, connections and transitions in narrative or data descriptions,layer_20/width_16k/canonical,-358.8537395838347
12854, terms related to clinical trials and medical treatments,layer_20/width_16k/canonical,-357.9394610547377
9235,references to the impact of the COVID-19 pandemic,layer_20/width_16k/canonical,-356.10386197549576
3113,mentions of technology components and troubleshooting in a technical context.,layer_20/width_16k/canonical,-356.10386197549576
10192,modal verbs indicating possibility or necessity,layer_20/width_16k/canonical,-354.72092913182195
