latent_idx,description,sae_id,steering_coefficient
7037,mentions of the coronavirus and related health topics,layer_20/width_16k/canonical,-116.30979591102778
8235,text related to charitable actions and community support,layer_20/width_16k/canonical,-96.52304547756985
966,information related to diseases carried by rodents and their ability to transmit viruses.,layer_20/width_16k/canonical,-70.11909572519379
15013,statistical data related to health incidents and their trends over time,layer_20/width_16k/canonical,-57.399474895517194
10167,references to the coronavirus and the COVID-19 pandemic,layer_20/width_16k/canonical,-44.925969331388195
518,references to diseases and health conditions,layer_20/width_16k/canonical,-44.68903024961364
1556,medical terminology and symptoms associated with respiratory illnesses and infections,layer_20/width_16k/canonical,-39.90610452732997
6030, references to COVID-related topics,layer_20/width_16k/canonical,-39.81732554188193
2306,biological or scientific terminology related to viruses and their classifications,layer_20/width_16k/canonical,-39.654047843466124
1651,references to violence and casualties from attacks or conflicts,layer_20/width_16k/canonical,-36.78359400594817
8002,references to biological research and experimental methods,layer_20/width_16k/canonical,-36.315610821576094
10438,attributes related to vaccine efficacy and immunogenicity in children,layer_20/width_16k/canonical,-34.55116597366589
8869,information related to public health studies and statistics,layer_20/width_16k/canonical,-33.791706947039515
7932, phrases related to technical explanations or descriptions,layer_20/width_16k/canonical,-31.233827419994444
12452,numerical values or statistics related to time and events,layer_20/width_16k/canonical,-31.02541010793724
450,terms related to quantitative research and analysis methods,layer_20/width_16k/canonical,-31.00639361206057
3242,information related to corruption and bribery involving public officials,layer_20/width_16k/canonical,-30.62358395147037
11643,references to bacterial infections or antibiotic treatments,layer_20/width_16k/canonical,-29.16352955486749
1828,terms related to severity and serious conditions,layer_20/width_16k/canonical,-28.838124340237666
4482,topics related to humanitarian crises and social issues,layer_20/width_16k/canonical,-28.653459958721104
5708,references to diseases and medical conditions,layer_20/width_16k/canonical,-26.978328190838475
3814,phrases related to possession or experiences over time,layer_20/width_16k/canonical,-26.581890381585747
5128,financial figures and monetary values,layer_20/width_16k/canonical,-25.494602847559257
13296,"numerical information or values related to studies, statistics, or significant dates",layer_20/width_16k/canonical,-25.004051592128743
6456,terms related to human rights and humanitarian issues,layer_20/width_16k/canonical,-24.9095179773351
13686,terms related to various medical symptoms and conditions,layer_20/width_16k/canonical,-24.814624230572687
6692,terms and concepts related to technology and engineering systems,layer_20/width_16k/canonical,-24.695494285521114
3820,phrases related to global economic influences and inter-country relations,layer_20/width_16k/canonical,-24.623739671041328
9669,"terms linked to specific regulatory or legislative frameworks, particularly in taxation and healthcare",layer_20/width_16k/canonical,-24.551775348602042
5746,references to education and professional development activities,layer_20/width_16k/canonical,-24.066514537318152
7971, references to specific scientific articles and researchers,layer_20/width_16k/canonical,-23.96828345577319
6474,terms related to health risks and medical conditions,layer_20/width_16k/canonical,-23.894345130120207
13389,references to specific medical device categories and parameters related to heart function,layer_20/width_16k/canonical,-23.496078152804092
1548,expressions of personal giving or philanthropic actions,layer_20/width_16k/canonical,-23.269057580952932
7905,sentence endings and punctuation marks,layer_20/width_16k/canonical,-23.014186175249925
13700,"references to species comparisons and interactions, particularly between humans and other mammals",layer_20/width_16k/canonical,-22.88568608564632
15232,references to diseases and viruses transmitted by mosquitoes or ticks,layer_20/width_16k/canonical,-22.80823853329656
10867,"phrases containing the word ""as"" in various contexts",layer_20/width_16k/canonical,-22.756460399465166
13403,technical references or terminologies related to scientific concepts and entities,layer_20/width_16k/canonical,-22.62649668450923
16138,"instances of medical conditions, emergency situations, and treatments involving critical care or interventions",layer_20/width_16k/canonical,-22.62649668450923
9521, phrases indicating numerical quantities and dimensions in various contexts,layer_20/width_16k/canonical,-22.46954799225218
9166," references to figures, files, and declarations of conflicts of interest",layer_20/width_16k/canonical,-21.938277876416077
6884,terms related to coexistence and variation in biological or emotional contexts,layer_20/width_16k/canonical,-21.77636955382747
11264,language related to causes and effects,layer_20/width_16k/canonical,-21.722131936472916
4824,terms related to health and healthcare,layer_20/width_16k/canonical,-21.58594167895432
8388, connections and transitions in narrative or data descriptions,layer_20/width_16k/canonical,-21.531224375030085
12854, terms related to clinical trials and medical treatments,layer_20/width_16k/canonical,-21.47636766328426
9235,references to the impact of the COVID-19 pandemic,layer_20/width_16k/canonical,-21.366231718529747
3113,mentions of technology components and troubleshooting in a technical context.,layer_20/width_16k/canonical,-21.366231718529747
10192,modal verbs indicating possibility or necessity,layer_20/width_16k/canonical,-21.28325574790932
