latent_idx,description,sae_id,steering_coefficient
7037,mentions of the coronavirus and related health topics,layer_20/width_16k/canonical,-119.75210134608294
8235,text related to charitable actions and community support,layer_20/width_16k/canonical,-99.37974212511348
966,information related to diseases carried by rodents and their ability to transmit viruses.,layer_20/width_16k/canonical,-72.19434091348926
15013,statistical data related to health incidents and their trends over time,layer_20/width_16k/canonical,-59.09827010751548
10167,references to the coronavirus and the COVID-19 pandemic,layer_20/width_16k/canonical,-46.25559859600198
518,references to diseases and health conditions,layer_20/width_16k/canonical,-46.011647063706114
1556,medical terminology and symptoms associated with respiratory illnesses and infections,layer_20/width_16k/canonical,-41.087165842332105
6030, references to COVID-related topics,layer_20/width_16k/canonical,-40.99575935348477
2306,biological or scientific terminology related to viruses and their classifications,layer_20/width_16k/canonical,-40.82764928730254
1651,references to violence and casualties from attacks or conflicts,layer_20/width_16k/canonical,-37.87224148035693
