latent_idx,description,sae_id,steering_coefficient
7037,mentions of the coronavirus and related health topics,layer_20/width_16k/canonical,-39.29791197901521
8235,text related to charitable actions and community support,layer_20/width_16k/canonical,-32.61250796128668
966,information related to diseases carried by rodents and their ability to transmit viruses.,layer_20/width_16k/canonical,-23.69133253371606
15013,statistical data related to health incidents and their trends over time,layer_20/width_16k/canonical,-19.393719113833114
10167,references to the coronavirus and the COVID-19 pandemic,layer_20/width_16k/canonical,-15.17926133846338
518,references to diseases and health conditions,layer_20/width_16k/canonical,-15.099206076505155
1556,medical terminology and symptoms associated with respiratory illnesses and infections,layer_20/width_16k/canonical,-13.483185752815032
6030, references to COVID-related topics,layer_20/width_16k/canonical,-13.453189751804143
2306,biological or scientific terminology related to viruses and their classifications,layer_20/width_16k/canonical,-13.398022664885783
1651,references to violence and casualties from attacks or conflicts,layer_20/width_16k/canonical,-12.428174498933393
8002,references to biological research and experimental methods,layer_20/width_16k/canonical,-12.270055727912753
10438,attributes related to vaccine efficacy and immunogenicity in children,layer_20/width_16k/canonical,-11.673897873951393
8869,information related to public health studies and statistics,layer_20/width_16k/canonical,-11.417297355084846
7932, phrases related to technical explanations or descriptions,layer_20/width_16k/canonical,-10.55305953470697
12452,numerical values or statistics related to time and events,layer_20/width_16k/canonical,-10.482641001857061
450,terms related to quantitative research and analysis methods,layer_20/width_16k/canonical,-10.476215845873792
3242,information related to corruption and bribery involving public officials,layer_20/width_16k/canonical,-10.346874888573014
11643,references to bacterial infections or antibiotic treatments,layer_20/width_16k/canonical,-9.853562277087002
1828,terms related to severity and serious conditions,layer_20/width_16k/canonical,-9.743616718487472
4482,topics related to humanitarian crises and social issues,layer_20/width_16k/canonical,-9.681223653882247
