latent_idx,description,sae_id,steering_coefficient
7037,mentions of the coronavirus and related health topics,layer_20/width_16k/canonical,-1964.8955989507608
8235,text related to charitable actions and community support,layer_20/width_16k/canonical,-1630.6253980643341
966,information related to diseases carried by rodents and their ability to transmit viruses.,layer_20/width_16k/canonical,-1184.566626685803
15013,statistical data related to health incidents and their trends over time,layer_20/width_16k/canonical,-969.6859556916559
10167,references to the coronavirus and the COVID-19 pandemic,layer_20/width_16k/canonical,-758.9630669231691
518,references to diseases and health conditions,layer_20/width_16k/canonical,-754.9603038252578
1556,medical terminology and symptoms associated with respiratory illnesses and infections,layer_20/width_16k/canonical,-674.1592876407516
6030, references to COVID-related topics,layer_20/width_16k/canonical,-672.6594875902072
2306,biological or scientific terminology related to viruses and their classifications,layer_20/width_16k/canonical,-669.9011332442891
1651,references to violence and casualties from attacks or conflicts,layer_20/width_16k/canonical,-621.4087249466696
8002,references to biological research and experimental methods,layer_20/width_16k/canonical,-613.5027863956377
10438,attributes related to vaccine efficacy and immunogenicity in children,layer_20/width_16k/canonical,-583.6948936975697
8869,information related to public health studies and statistics,layer_20/width_16k/canonical,-570.8648677542423
7932, phrases related to technical explanations or descriptions,layer_20/width_16k/canonical,-527.6529767353486
12452,numerical values or statistics related to time and events,layer_20/width_16k/canonical,-524.1320500928531
450,terms related to quantitative research and analysis methods,layer_20/width_16k/canonical,-523.8107922936896
3242,information related to corruption and bribery involving public officials,layer_20/width_16k/canonical,-517.3437444286507
11643,references to bacterial infections or antibiotic treatments,layer_20/width_16k/canonical,-492.67811385435016
1828,terms related to severity and serious conditions,layer_20/width_16k/canonical,-487.1808359243736
4482,topics related to humanitarian crises and social issues,layer_20/width_16k/canonical,-484.0611826941124
