latent_idx,description,sae_id,steering_coefficient
7037,mentions of the coronavirus and related health topics,layer_20/width_16k/canonical,-38.76993197034259
8235,text related to charitable actions and community support,layer_20/width_16k/canonical,-32.17434849252328
966,information related to diseases carried by rodents and their ability to transmit viruses.,layer_20/width_16k/canonical,-23.373031908397927
15013,statistical data related to health incidents and their trends over time,layer_20/width_16k/canonical,-19.13315829850573
10167,references to the coronavirus and the COVID-19 pandemic,layer_20/width_16k/canonical,-14.97532311046273
518,references to diseases and health conditions,layer_20/width_16k/canonical,-14.896343416537878
1556,medical terminology and symptoms associated with respiratory illnesses and infections,layer_20/width_16k/canonical,-13.302034842443323
6030, references to COVID-related topics,layer_20/width_16k/canonical,-13.272441847293974
2306,biological or scientific terminology related to viruses and their classifications,layer_20/width_16k/canonical,-13.21801594782204
1651,references to violence and casualties from attacks or conflicts,layer_20/width_16k/canonical,-12.261198001982722
8002,references to biological research and experimental methods,layer_20/width_16k/canonical,-12.10520360719203
10438,attributes related to vaccine efficacy and immunogenicity in children,layer_20/width_16k/canonical,-11.517055324555296
8869,information related to public health studies and statistics,layer_20/width_16k/canonical,-11.263902315679836
7932, phrases related to technical explanations or descriptions,layer_20/width_16k/canonical,-10.411275806664813
12452,numerical values or statistics related to time and events,layer_20/width_16k/canonical,-10.341803369312412
450,terms related to quantitative research and analysis methods,layer_20/width_16k/canonical,-10.335464537353523
3242,information related to corruption and bribery involving public officials,layer_20/width_16k/canonical,-10.20786131715679
11643,references to bacterial infections or antibiotic treatments,layer_20/width_16k/canonical,-9.721176518289163
1828,terms related to severity and serious conditions,layer_20/width_16k/canonical,-9.612708113412554
4482,topics related to humanitarian crises and social issues,layer_20/width_16k/canonical,-9.5511533195737
5708,references to diseases and medical conditions,layer_20/width_16k/canonical,-8.992776063612824
3814,phrases related to possession or experiences over time,layer_20/width_16k/canonical,-8.860630127195249
5128,financial figures and monetary values,layer_20/width_16k/canonical,-8.498200949186417
13296,"numerical information or values related to studies, statistics, or significant dates",layer_20/width_16k/canonical,-8.334683864042914
6456,terms related to human rights and humanitarian issues,layer_20/width_16k/canonical,-8.303172659111699
13686,terms related to various medical symptoms and conditions,layer_20/width_16k/canonical,-8.271541410190896
6692,terms and concepts related to technology and engineering systems,layer_20/width_16k/canonical,-8.231831428507038
3820,phrases related to global economic influences and inter-country relations,layer_20/width_16k/canonical,-8.20791322368044
9669,"terms linked to specific regulatory or legislative frameworks, particularly in taxation and healthcare",layer_20/width_16k/canonical,-8.18392511620068
5746,references to education and professional development activities,layer_20/width_16k/canonical,-8.022171512439384
7971, references to specific scientific articles and researchers,layer_20/width_16k/canonical,-7.9894278185910625
6474,terms related to health risks and medical conditions,layer_20/width_16k/canonical,-7.964781710040068
13389,references to specific medical device categories and parameters related to heart function,layer_20/width_16k/canonical,-7.832026050934697
1548,expressions of personal giving or philanthropic actions,layer_20/width_16k/canonical,-7.75635252698431
7905,sentence endings and punctuation marks,layer_20/width_16k/canonical,-7.671395391749974
13700,"references to species comparisons and interactions, particularly between humans and other mammals",layer_20/width_16k/canonical,-7.628562028548772
15232,references to diseases and viruses transmitted by mosquitoes or ticks,layer_20/width_16k/canonical,-7.6027461777655185
10867,"phrases containing the word ""as"" in various contexts",layer_20/width_16k/canonical,-7.585486799821721
13403,technical references or terminologies related to scientific concepts and entities,layer_20/width_16k/canonical,-7.542165561503076
16138,"instances of medical conditions, emergency situations, and treatments involving critical care or interventions",layer_20/width_16k/canonical,-7.542165561503076
9521, phrases indicating numerical quantities and dimensions in various contexts,layer_20/width_16k/canonical,-7.489849330750726
9166," references to figures, files, and declarations of conflicts of interest",layer_20/width_16k/canonical,-7.312759292138692
6884,terms related to coexistence and variation in biological or emotional contexts,layer_20/width_16k/canonical,-7.258789851275823
11264,language related to causes and effects,layer_20/width_16k/canonical,-7.240710645490971
4824,terms related to health and healthcare,layer_20/width_16k/canonical,-7.195313892984774
8388, connections and transitions in narrative or data descriptions,layer_20/width_16k/canonical,-7.177074791676694
12854, terms related to clinical trials and medical treatments,layer_20/width_16k/canonical,-7.158789221094754
9235,references to the impact of the COVID-19 pandemic,layer_20/width_16k/canonical,-7.122077239509915
3113,mentions of technology components and troubleshooting in a technical context.,layer_20/width_16k/canonical,-7.122077239509915
10192,modal verbs indicating possibility or necessity,layer_20/width_16k/canonical,-7.094418582636439
