latent_idx,steering_coefficient,sae_id,description
7037,-243.318200668509,layer_3/width_16k/canonical,mentions of the coronavirus and related health topics
8235,-192.87980479963628,layer_3/width_16k/canonical,text related to charitable actions and community support
966,-179.28139136511476,layer_3/width_16k/canonical,information related to diseases carried by rodents and their ability to transmit viruses.
2306,-135.742475920205,layer_3/width_16k/canonical,biological or scientific terminology related to viruses and their classifications
15013,-128.42628941547233,layer_3/width_16k/canonical,statistical data related to health incidents and their trends over time
6720,-120.19187949749217,layer_3/width_16k/canonical,references to genetic engineering and cloning processes
10438,-111.53497005783409,layer_3/width_16k/canonical,attributes related to vaccine efficacy and immunogenicity in children
15232,-108.49903123683845,layer_3/width_16k/canonical,references to diseases and viruses transmitted by mosquitoes or ticks
8002,-106.08821285871166,layer_3/width_16k/canonical,references to biological research and experimental methods
8595,-97.47723374871057,layer_3/width_16k/canonical,terms related to HIV and its clinical aspects in specific populations
518,-95.5727712073443,layer_3/width_16k/canonical,references to diseases and health conditions
6525,-92.75648164378727,layer_3/width_16k/canonical,"information related to specific strains and lineages of viruses, particularly in the context of HIV"
10167,-91.56294938829453,layer_3/width_16k/canonical,references to the coronavirus and the COVID-19 pandemic
7932,-87.85085649066329,layer_3/width_16k/canonical, phrases related to technical explanations or descriptions
1556,-86.12444323606972,layer_3/width_16k/canonical,medical terminology and symptoms associated with respiratory illnesses and infections
12225,-85.40999680974042,layer_3/width_16k/canonical,technical terms related to clinical trials and gene therapies
1651,-83.01838738032036,layer_3/width_16k/canonical,references to violence and casualties from attacks or conflicts
6030,-81.18928118790568,layer_3/width_16k/canonical, references to COVID-related topics
14012,-80.86695264228024,layer_3/width_16k/canonical,scientific terminology related to T cells and their markers
13389,-74.24172659527014,layer_3/width_16k/canonical,references to specific medical device categories and parameters related to heart function
450,-73.5962227373684,layer_3/width_16k/canonical,terms related to quantitative research and analysis methods
6692,-73.19932715032718,layer_3/width_16k/canonical,terms and concepts related to technology and engineering systems
397,-71.78591922152285,layer_3/width_16k/canonical,technical terms related to chemical and biological properties of materials
2468,-70.61491972913926,layer_3/width_16k/canonical, classifications of medical conditions in veterinary practice
8869,-69.30107240748943,layer_3/width_16k/canonical,information related to public health studies and statistics
5708,-69.25032097453256,layer_3/width_16k/canonical,references to diseases and medical conditions
9669,-69.06148912379294,layer_3/width_16k/canonical,"terms linked to specific regulatory or legislative frameworks, particularly in taxation and healthcare"
12452,-68.08735070996573,layer_3/width_16k/canonical,numerical values or statistics related to time and events
9571,-67.42017494701753,layer_3/width_16k/canonical,phrases related to the synthesis and functioning of protein complexes within cells
8859,-67.39036938634473,layer_3/width_16k/canonical,terminology related to virus behaviors and characteristics
