latent_idx,steering_coefficient,sae_id,description
7037,-10.255907719252006,layer_3/width_16k/canonical,mentions of the coronavirus and related health topics
8235,-8.129919888843025,layer_3/width_16k/canonical,text related to charitable actions and community support
966,-7.556744216289488,layer_3/width_16k/canonical,information related to diseases carried by rodents and their ability to transmit viruses.
2306,-5.72157077767092,layer_3/width_16k/canonical,biological or scientific terminology related to viruses and their classifications
15013,-5.413192146548295,layer_3/width_16k/canonical,statistical data related to health incidents and their trends over time
6720,-5.066110226620929,layer_3/width_16k/canonical,references to genetic engineering and cloning processes
10438,-4.701219872742254,layer_3/width_16k/canonical,attributes related to vaccine efficacy and immunogenicity in children
15232,-4.573254482960971,layer_3/width_16k/canonical,references to diseases and viruses transmitted by mosquitoes or ticks
8002,-4.471638036899749,layer_3/width_16k/canonical,references to biological research and experimental methods
8595,-4.108683655016521,layer_3/width_16k/canonical,terms related to HIV and its clinical aspects in specific populations
