latent_idx,steering_coefficient,sae_id,description
7037,-5.127953859626003,layer_3/width_16k/canonical,mentions of the coronavirus and related health topics
8235,-4.0649599444215125,layer_3/width_16k/canonical,text related to charitable actions and community support
966,-3.778372108144744,layer_3/width_16k/canonical,information related to diseases carried by rodents and their ability to transmit viruses.
2306,-2.86078538883546,layer_3/width_16k/canonical,biological or scientific terminology related to viruses and their classifications
15013,-2.7065960732741474,layer_3/width_16k/canonical,statistical data related to health incidents and their trends over time
6720,-2.5330551133104646,layer_3/width_16k/canonical,references to genetic engineering and cloning processes
10438,-2.350609936371127,layer_3/width_16k/canonical,attributes related to vaccine efficacy and immunogenicity in children
15232,-2.2866272414804856,layer_3/width_16k/canonical,references to diseases and viruses transmitted by mosquitoes or ticks
8002,-2.2358190184498743,layer_3/width_16k/canonical,references to biological research and experimental methods
8595,-2.0543418275082606,layer_3/width_16k/canonical,terms related to HIV and its clinical aspects in specific populations
