latent_idx,steering_coefficient,sae_id,description
7037,-10,layer_3/width_16k/canonical,mentions of the coronavirus and related health topics
8235,-10,layer_3/width_16k/canonical,text related to charitable actions and community support
966,-10,layer_3/width_16k/canonical,information related to diseases carried by rodents and their ability to transmit viruses.
2306,-10,layer_3/width_16k/canonical,biological or scientific terminology related to viruses and their classifications
15013,-10,layer_3/width_16k/canonical,statistical data related to health incidents and their trends over time
6720,-10,layer_3/width_16k/canonical,references to genetic engineering and cloning processes
10438,-10,layer_3/width_16k/canonical,attributes related to vaccine efficacy and immunogenicity in children
15232,-10,layer_3/width_16k/canonical,references to diseases and viruses transmitted by mosquitoes or ticks
8002,-10,layer_3/width_16k/canonical,references to biological research and experimental methods
8595,-10,layer_3/width_16k/canonical,terms related to HIV and its clinical aspects in specific populations
518,-10,layer_3/width_16k/canonical,references to diseases and health conditions
6525,-10,layer_3/width_16k/canonical,"information related to specific strains and lineages of viruses, particularly in the context of HIV"
10167,-10,layer_3/width_16k/canonical,references to the coronavirus and the COVID-19 pandemic
7932,-10,layer_3/width_16k/canonical, phrases related to technical explanations or descriptions
1556,-10,layer_3/width_16k/canonical,medical terminology and symptoms associated with respiratory illnesses and infections
12225,-10,layer_3/width_16k/canonical,technical terms related to clinical trials and gene therapies
1651,-10,layer_3/width_16k/canonical,references to violence and casualties from attacks or conflicts
6030,-10,layer_3/width_16k/canonical, references to COVID-related topics
14012,-10,layer_3/width_16k/canonical,scientific terminology related to T cells and their markers
13389,-10,layer_3/width_16k/canonical,references to specific medical device categories and parameters related to heart function
