latent_idx,steering_coefficient,sae_id,description
7037,-97.32728026740361,layer_3/width_16k/canonical,mentions of the coronavirus and related health topics
8235,-77.15192191985452,layer_3/width_16k/canonical,text related to charitable actions and community support
966,-71.7125565460459,layer_3/width_16k/canonical,information related to diseases carried by rodents and their ability to transmit viruses.
2306,-54.29699036808201,layer_3/width_16k/canonical,biological or scientific terminology related to viruses and their classifications
15013,-51.37051576618893,layer_3/width_16k/canonical,statistical data related to health incidents and their trends over time
6720,-48.07675179899687,layer_3/width_16k/canonical,references to genetic engineering and cloning processes
10438,-44.613988023133636,layer_3/width_16k/canonical,attributes related to vaccine efficacy and immunogenicity in children
15232,-43.39961249473538,layer_3/width_16k/canonical,references to diseases and viruses transmitted by mosquitoes or ticks
8002,-42.43528514348466,layer_3/width_16k/canonical,references to biological research and experimental methods
8595,-38.99089349948423,layer_3/width_16k/canonical,terms related to HIV and its clinical aspects in specific populations
518,-38.22910848293772,layer_3/width_16k/canonical,references to diseases and health conditions
6525,-37.102592657514904,layer_3/width_16k/canonical,"information related to specific strains and lineages of viruses, particularly in the context of HIV"
10167,-36.62517975531781,layer_3/width_16k/canonical,references to the coronavirus and the COVID-19 pandemic
7932,-35.14034259626531,layer_3/width_16k/canonical, phrases related to technical explanations or descriptions
1556,-34.44977729442789,layer_3/width_16k/canonical,medical terminology and symptoms associated with respiratory illnesses and infections
12225,-34.163998723896164,layer_3/width_16k/canonical,technical terms related to clinical trials and gene therapies
1651,-33.20735495212815,layer_3/width_16k/canonical,references to violence and casualties from attacks or conflicts
6030,-32.47571247516227,layer_3/width_16k/canonical, references to COVID-related topics
14012,-32.34678105691209,layer_3/width_16k/canonical,scientific terminology related to T cells and their markers
13389,-29.696690638108056,layer_3/width_16k/canonical,references to specific medical device categories and parameters related to heart function
450,-29.438489094947357,layer_3/width_16k/canonical,terms related to quantitative research and analysis methods
6692,-29.27973086013087,layer_3/width_16k/canonical,terms and concepts related to technology and engineering systems
397,-28.71436768860914,layer_3/width_16k/canonical,technical terms related to chemical and biological properties of materials
2468,-28.245967891655706,layer_3/width_16k/canonical, classifications of medical conditions in veterinary practice
8869,-27.720428962995772,layer_3/width_16k/canonical,information related to public health studies and statistics
5708,-27.70012838981302,layer_3/width_16k/canonical,references to diseases and medical conditions
9669,-27.62459564951718,layer_3/width_16k/canonical,"terms linked to specific regulatory or legislative frameworks, particularly in taxation and healthcare"
12452,-27.234940283986294,layer_3/width_16k/canonical,numerical values or statistics related to time and events
9571,-26.968069978807012,layer_3/width_16k/canonical,phrases related to the synthesis and functioning of protein complexes within cells
8859,-26.95614775453789,layer_3/width_16k/canonical,terminology related to virus behaviors and characteristics
