latent_idx,steering_coefficient,sae_id,description
7037,-4.940871212279046,layer_3/width_16k/canonical,mentions of the coronavirus and related health topics
8235,-3.9166584018219894,layer_3/width_16k/canonical,text related to charitable actions and community support
966,-3.640526122006098,layer_3/width_16k/canonical,information related to diseases carried by rodents and their ability to transmit viruses.
2306,-2.7564156307047063,layer_3/width_16k/canonical,biological or scientific terminology related to viruses and their classifications
15013,-2.607851589109866,layer_3/width_16k/canonical,statistical data related to health incidents and their trends over time
6720,-2.4406419072937418,layer_3/width_16k/canonical,references to genetic engineering and cloning processes
10438,-2.264852860193291,layer_3/width_16k/canonical,attributes related to vaccine efficacy and immunogenicity in children
15232,-2.2032044398051527,layer_3/width_16k/canonical,references to diseases and viruses transmitted by mosquitoes or ticks
8002,-2.1542498482875705,layer_3/width_16k/canonical,references to biological research and experimental methods
8595,-1.97939347224481,layer_3/width_16k/canonical,terms related to HIV and its clinical aspects in specific populations
518,-1.9407210502079568,layer_3/width_16k/canonical,references to diseases and health conditions
6525,-1.8835328744291202,layer_3/width_16k/canonical,"information related to specific strains and lineages of viruses, particularly in the context of HIV"
10167,-1.859296754213335,layer_3/width_16k/canonical,references to the coronavirus and the COVID-19 pandemic
7932,-1.783918205116636,layer_3/width_16k/canonical, phrases related to technical explanations or descriptions
1556,-1.7488612898234828,layer_3/width_16k/canonical,medical terminology and symptoms associated with respiratory illnesses and infections
12225,-1.7343535885053423,layer_3/width_16k/canonical,technical terms related to clinical trials and gene therapies
1651,-1.6857890579919208,layer_3/width_16k/canonical,references to violence and casualties from attacks or conflicts
6030,-1.6486468380286252,layer_3/width_16k/canonical, references to COVID-related topics
14012,-1.6421015659215614,layer_3/width_16k/canonical,scientific terminology related to T cells and their markers
13389,-1.5075683145635586,layer_3/width_16k/canonical,references to specific medical device categories and parameters related to heart function
