latent_idx,steering_coefficient,sae_id,description
7037,-247.0435606139523,layer_3/width_16k/canonical,mentions of the coronavirus and related health topics
8235,-195.83292009109948,layer_3/width_16k/canonical,text related to charitable actions and community support
966,-182.0263061003049,layer_3/width_16k/canonical,information related to diseases carried by rodents and their ability to transmit viruses.
2306,-137.8207815352353,layer_3/width_16k/canonical,biological or scientific terminology related to viruses and their classifications
15013,-130.3925794554933,layer_3/width_16k/canonical,statistical data related to health incidents and their trends over time
6720,-122.03209536468708,layer_3/width_16k/canonical,references to genetic engineering and cloning processes
10438,-113.24264300966456,layer_3/width_16k/canonical,attributes related to vaccine efficacy and immunogenicity in children
15232,-110.16022199025763,layer_3/width_16k/canonical,references to diseases and viruses transmitted by mosquitoes or ticks
8002,-107.71249241437852,layer_3/width_16k/canonical,references to biological research and experimental methods
8595,-98.96967361224051,layer_3/width_16k/canonical,terms related to HIV and its clinical aspects in specific populations
518,-97.03605251039784,layer_3/width_16k/canonical,references to diseases and health conditions
6525,-94.17664372145602,layer_3/width_16k/canonical,"information related to specific strains and lineages of viruses, particularly in the context of HIV"
10167,-92.96483771066674,layer_3/width_16k/canonical,references to the coronavirus and the COVID-19 pandemic
7932,-89.19591025583179,layer_3/width_16k/canonical, phrases related to technical explanations or descriptions
1556,-87.44306449117414,layer_3/width_16k/canonical,medical terminology and symptoms associated with respiratory illnesses and infections
12225,-86.71767942526712,layer_3/width_16k/canonical,technical terms related to clinical trials and gene therapies
1651,-84.28945289959604,layer_3/width_16k/canonical,references to violence and casualties from attacks or conflicts
6030,-82.43234190143126,layer_3/width_16k/canonical, references to COVID-related topics
14012,-82.10507829607808,layer_3/width_16k/canonical,scientific terminology related to T cells and their markers
13389,-75.37841572817793,layer_3/width_16k/canonical,references to specific medical device categories and parameters related to heart function
