latent_idx,steering_coefficient,sae_id,description
7037,-50,layer_3/width_16k/canonical,mentions of the coronavirus and related health topics
8235,-50,layer_3/width_16k/canonical,text related to charitable actions and community support
966,-50,layer_3/width_16k/canonical,information related to diseases carried by rodents and their ability to transmit viruses.
2306,-50,layer_3/width_16k/canonical,biological or scientific terminology related to viruses and their classifications
15013,-50,layer_3/width_16k/canonical,statistical data related to health incidents and their trends over time
6720,-50,layer_3/width_16k/canonical,references to genetic engineering and cloning processes
10438,-50,layer_3/width_16k/canonical,attributes related to vaccine efficacy and immunogenicity in children
15232,-50,layer_3/width_16k/canonical,references to diseases and viruses transmitted by mosquitoes or ticks
8002,-50,layer_3/width_16k/canonical,references to biological research and experimental methods
8595,-50,layer_3/width_16k/canonical,terms related to HIV and its clinical aspects in specific populations
