latent_idx,steering_coefficient,sae_id,description
7037,-51.27953859626004,layer_3/width_16k/canonical,mentions of the coronavirus and related health topics
8235,-40.649599444215134,layer_3/width_16k/canonical,text related to charitable actions and community support
966,-37.78372108144744,layer_3/width_16k/canonical,information related to diseases carried by rodents and their ability to transmit viruses.
2306,-28.607853888354605,layer_3/width_16k/canonical,biological or scientific terminology related to viruses and their classifications
15013,-27.065960732741473,layer_3/width_16k/canonical,statistical data related to health incidents and their trends over time
6720,-25.33055113310465,layer_3/width_16k/canonical,references to genetic engineering and cloning processes
10438,-23.506099363711268,layer_3/width_16k/canonical,attributes related to vaccine efficacy and immunogenicity in children
15232,-22.866272414804858,layer_3/width_16k/canonical,references to diseases and viruses transmitted by mosquitoes or ticks
8002,-22.358190184498746,layer_3/width_16k/canonical,references to biological research and experimental methods
8595,-20.543418275082605,layer_3/width_16k/canonical,terms related to HIV and its clinical aspects in specific populations
