latent_idx,description,sae_id,steering_coefficient
7037,mentions of the coronavirus and related health topics,layer_20/width_16k/canonical,-5
8235,text related to charitable actions and community support,layer_20/width_16k/canonical,-5
966,information related to diseases carried by rodents and their ability to transmit viruses.,layer_20/width_16k/canonical,-5
15013,statistical data related to health incidents and their trends over time,layer_20/width_16k/canonical,-5
10167,references to the coronavirus and the COVID-19 pandemic,layer_20/width_16k/canonical,-5
518,references to diseases and health conditions,layer_20/width_16k/canonical,-5
1556,medical terminology and symptoms associated with respiratory illnesses and infections,layer_20/width_16k/canonical,-5
6030, references to COVID-related topics,layer_20/width_16k/canonical,-5
2306,biological or scientific terminology related to viruses and their classifications,layer_20/width_16k/canonical,-5
1651,references to violence and casualties from attacks or conflicts,layer_20/width_16k/canonical,-5
8002,references to biological research and experimental methods,layer_20/width_16k/canonical,-5
10438,attributes related to vaccine efficacy and immunogenicity in children,layer_20/width_16k/canonical,-5
8869,information related to public health studies and statistics,layer_20/width_16k/canonical,-5
7932, phrases related to technical explanations or descriptions,layer_20/width_16k/canonical,-5
12452,numerical values or statistics related to time and events,layer_20/width_16k/canonical,-5
450,terms related to quantitative research and analysis methods,layer_20/width_16k/canonical,-5
3242,information related to corruption and bribery involving public officials,layer_20/width_16k/canonical,-5
11643,references to bacterial infections or antibiotic treatments,layer_20/width_16k/canonical,-5
1828,terms related to severity and serious conditions,layer_20/width_16k/canonical,-5
4482,topics related to humanitarian crises and social issues,layer_20/width_16k/canonical,-5
