latent_idx,description,sae_id,steering_coefficient
7037,mentions of the coronavirus and related health topics,layer_20/width_16k/canonical,-39.917367115360975
8235,text related to charitable actions and community support,layer_20/width_16k/canonical,-33.12658070837116
966,information related to diseases carried by rodents and their ability to transmit viruses.,layer_20/width_16k/canonical,-24.064780304496416
15013,statistical data related to health incidents and their trends over time,layer_20/width_16k/canonical,-19.699423369171825
10167,references to the coronavirus and the COVID-19 pandemic,layer_20/width_16k/canonical,-15.418532865333992
518,references to diseases and health conditions,layer_20/width_16k/canonical,-15.337215687902038
1556,medical terminology and symptoms associated with respiratory illnesses and infections,layer_20/width_16k/canonical,-13.695721947444033
6030, references to COVID-related topics,layer_20/width_16k/canonical,-13.665253117828255
2306,biological or scientific terminology related to viruses and their classifications,layer_20/width_16k/canonical,-13.609216429100847
1651,references to violence and casualties from attacks or conflicts,layer_20/width_16k/canonical,-12.624080493452308
