latent_idx,description,sae_id,steering_coefficient
7037,mentions of the coronavirus and related health topics,layer_20/width_16k/canonical,-1995.868355768049
8235,text related to charitable actions and community support,layer_20/width_16k/canonical,-1656.3290354185579
966,information related to diseases carried by rodents and their ability to transmit viruses.,layer_20/width_16k/canonical,-1203.2390152248208
15013,statistical data related to health incidents and their trends over time,layer_20/width_16k/canonical,-984.9711684585913
10167,references to the coronavirus and the COVID-19 pandemic,layer_20/width_16k/canonical,-770.9266432666997
518,references to diseases and health conditions,layer_20/width_16k/canonical,-766.860784395102
1556,medical terminology and symptoms associated with respiratory illnesses and infections,layer_20/width_16k/canonical,-684.7860973722017
6030, references to COVID-related topics,layer_20/width_16k/canonical,-683.2626558914128
2306,biological or scientific terminology related to viruses and their classifications,layer_20/width_16k/canonical,-680.4608214550424
1651,references to violence and casualties from attacks or conflicts,layer_20/width_16k/canonical,-631.2040246726153
