latent_idx,description,sae_id,steering_coefficient
7037,mentions of the coronavirus and related health topics,layer_20/width_16k/canonical,-399.1736711536098
8235,text related to charitable actions and community support,layer_20/width_16k/canonical,-331.2658070837116
966,information related to diseases carried by rodents and their ability to transmit viruses.,layer_20/width_16k/canonical,-240.64780304496418
15013,statistical data related to health incidents and their trends over time,layer_20/width_16k/canonical,-196.99423369171825
10167,references to the coronavirus and the COVID-19 pandemic,layer_20/width_16k/canonical,-154.18532865333992
518,references to diseases and health conditions,layer_20/width_16k/canonical,-153.3721568790204
1556,medical terminology and symptoms associated with respiratory illnesses and infections,layer_20/width_16k/canonical,-136.95721947444034
6030, references to COVID-related topics,layer_20/width_16k/canonical,-136.65253117828254
2306,biological or scientific terminology related to viruses and their classifications,layer_20/width_16k/canonical,-136.09216429100846
1651,references to violence and casualties from attacks or conflicts,layer_20/width_16k/canonical,-126.24080493452308
