latent_idx,description,sae_id,steering_coefficient
7037,mentions of the coronavirus and related health topics,layer_20/width_16k/canonical,-3.991736711536098
8235,text related to charitable actions and community support,layer_20/width_16k/canonical,-3.3126580708371156
966,information related to diseases carried by rodents and their ability to transmit viruses.,layer_20/width_16k/canonical,-2.406478030449642
15013,statistical data related to health incidents and their trends over time,layer_20/width_16k/canonical,-1.9699423369171825
10167,references to the coronavirus and the COVID-19 pandemic,layer_20/width_16k/canonical,-1.5418532865333991
518,references to diseases and health conditions,layer_20/width_16k/canonical,-1.5337215687902037
1556,medical terminology and symptoms associated with respiratory illnesses and infections,layer_20/width_16k/canonical,-1.3695721947444033
6030, references to COVID-related topics,layer_20/width_16k/canonical,-1.3665253117828255
2306,biological or scientific terminology related to viruses and their classifications,layer_20/width_16k/canonical,-1.3609216429100848
1651,references to violence and casualties from attacks or conflicts,layer_20/width_16k/canonical,-1.2624080493452308
