latent_idx,description,sae_id,steering_coefficient
7037,mentions of the coronavirus and related health topics,layer_20/width_16k/canonical,-392.97911979015214
8235,text related to charitable actions and community support,layer_20/width_16k/canonical,-326.12507961286684
966,information related to diseases carried by rodents and their ability to transmit viruses.,layer_20/width_16k/canonical,-236.91332533716061
15013,statistical data related to health incidents and their trends over time,layer_20/width_16k/canonical,-193.93719113833117
10167,references to the coronavirus and the COVID-19 pandemic,layer_20/width_16k/canonical,-151.79261338463382
518,references to diseases and health conditions,layer_20/width_16k/canonical,-150.99206076505155
1556,medical terminology and symptoms associated with respiratory illnesses and infections,layer_20/width_16k/canonical,-134.83185752815032
6030, references to COVID-related topics,layer_20/width_16k/canonical,-134.53189751804143
2306,biological or scientific terminology related to viruses and their classifications,layer_20/width_16k/canonical,-133.98022664885784
1651,references to violence and casualties from attacks or conflicts,layer_20/width_16k/canonical,-124.28174498933393
8002,references to biological research and experimental methods,layer_20/width_16k/canonical,-122.70055727912754
10438,attributes related to vaccine efficacy and immunogenicity in children,layer_20/width_16k/canonical,-116.73897873951394
8869,information related to public health studies and statistics,layer_20/width_16k/canonical,-114.17297355084847
7932, phrases related to technical explanations or descriptions,layer_20/width_16k/canonical,-105.5305953470697
12452,numerical values or statistics related to time and events,layer_20/width_16k/canonical,-104.82641001857063
450,terms related to quantitative research and analysis methods,layer_20/width_16k/canonical,-104.76215845873791
3242,information related to corruption and bribery involving public officials,layer_20/width_16k/canonical,-103.46874888573015
11643,references to bacterial infections or antibiotic treatments,layer_20/width_16k/canonical,-98.53562277087003
1828,terms related to severity and serious conditions,layer_20/width_16k/canonical,-97.43616718487472
4482,topics related to humanitarian crises and social issues,layer_20/width_16k/canonical,-96.81223653882249
